row-number,field,issue-type,value
1,organisation,default,local-authority-eng:ESK
1,entry-date,default,2021-06-23
2,organisation,default,local-authority-eng:ESK
2,entry-date,default,2021-06-23
3,organisation,default,local-authority-eng:ESK
3,entry-date,default,2021-06-23
4,organisation,default,local-authority-eng:ESK
4,entry-date,default,2021-06-23
5,organisation,default,local-authority-eng:ESK
5,entry-date,default,2021-06-23
6,organisation,default,local-authority-eng:ESK
6,entry-date,default,2021-06-23
7,organisation,default,local-authority-eng:ESK
7,entry-date,default,2021-06-23
8,organisation,default,local-authority-eng:ESK
8,entry-date,default,2021-06-23
9,organisation,default,local-authority-eng:ESK
9,entry-date,default,2021-06-23
10,organisation,default,local-authority-eng:ESK
10,entry-date,default,2021-06-23
11,organisation,default,local-authority-eng:ESK
11,entry-date,default,2021-06-23
12,organisation,default,local-authority-eng:ESK
12,entry-date,default,2021-06-23
13,organisation,default,local-authority-eng:ESK
13,entry-date,default,2021-06-23
14,organisation,default,local-authority-eng:ESK
14,entry-date,default,2021-06-23
15,organisation,default,local-authority-eng:ESK
15,entry-date,default,2021-06-23
16,organisation,default,local-authority-eng:ESK
16,entry-date,default,2021-06-23
17,organisation,default,local-authority-eng:ESK
17,entry-date,default,2021-06-23
18,organisation,default,local-authority-eng:ESK
18,entry-date,default,2021-06-23
19,organisation,default,local-authority-eng:ESK
19,entry-date,default,2021-06-23
20,organisation,default,local-authority-eng:ESK
20,entry-date,default,2021-06-23
21,organisation,default,local-authority-eng:ESK
21,entry-date,default,2021-06-23
22,organisation,default,local-authority-eng:ESK
22,entry-date,default,2021-06-23
23,organisation,default,local-authority-eng:ESK
23,entry-date,default,2021-06-23
24,organisation,default,local-authority-eng:ESK
24,entry-date,default,2021-06-23
25,organisation,default,local-authority-eng:ESK
25,entry-date,default,2021-06-23
26,organisation,default,local-authority-eng:ESK
26,entry-date,default,2021-06-23
27,organisation,default,local-authority-eng:ESK
27,entry-date,default,2021-06-23
28,organisation,default,local-authority-eng:ESK
28,entry-date,default,2021-06-23
29,organisation,default,local-authority-eng:ESK
29,entry-date,default,2021-06-23
30,organisation,default,local-authority-eng:ESK
30,entry-date,default,2021-06-23
31,organisation,default,local-authority-eng:ESK
31,entry-date,default,2021-06-23
32,organisation,default,local-authority-eng:ESK
32,entry-date,default,2021-06-23
33,organisation,default,local-authority-eng:ESK
33,entry-date,default,2021-06-23
34,organisation,default,local-authority-eng:ESK
34,entry-date,default,2021-06-23
35,organisation,default,local-authority-eng:ESK
35,entry-date,default,2021-06-23
